rank,year,title,keyword,author.no,affl.no,max_dist(m)
2113,1993,Implications of natural history traits to system-level dynamics: comparisons of a grassland and a forest,NA,2,2,2303523.95277431
2114,1993,Modeling vegetation structure-ecosystem process interactions across sites and ecosystems,NA,7,3,2303523.95277431
2115,1998,Structural and taxonomic correlates of habitat selection by a Puerto Rican land snail,NA,3,3,2298943.84884291
2116,2013,Correlations between genetic and species diversity: effects of resource quantity and heterogeneity,Andropogon gerardii; C4 grass; Dominant species; Grassland; Resource heterogeneity; Resource quantity; Species genetic diversity correlation,2,3,2288719.07546408
2117,2013,Mechanisms of selection: Phenotypic differences among genotypes explain patterns of selection in a dominant species,Adaptation; Andropogon gerardii; Biomass; Genotype3environment; Leaf traits; Phenotypic plasticity; Photosynthesis; Rainfall events; Tallgrass prairie,2,3,2288719.07546408
2118,2006,Cumulative impacts on Alaskan arctic tundra of a quarter century of road dust,Cumulative impacts; Oil development; pH; Press disturbance; Road dust; Tundra vegetation,4,3,2283047.18579922
2119,2009,Effects of urbanization on trophic dynamics of arthropod communities on a common desert host plant,Arthropods; Encelia farinosa; Food webs; Sonoran desert; Trophic dynamics,2,3,2266883.92297188
2120,2010,Inherited microbial symbionts increase herbivore abundances and alter arthropod diversity on a native grass,"Arizona, USA; Arthropods; Community genetics; Community structure; Defensive mutualist; Diversity; Endophyte; Evenness; Festuca arizonica; Neotyphodium; Species richness; Symbiont",2,2,2266883.92297188
2121,2011,Variation in arthropod communities in response to urbanization: Seven years of arthropod monitoring in a desert city,Arthropods; Diversity; Monitoring; Precipitation; Remnant; Urbanization,2,2,2266883.92297188
2122,2009,Urbanization alters soil microbial functioning in the Sonoran Desert,EEA; Fragmented ecosystems; Lawn; Peroxidase; Sonoran Desert; Xeriscape,6,2,2261525.16648836
2123,1992,Chemical defense of Populus balsamifera: A clarification,"2,4,6-Trihydroxydihydrochalcone; balsam poplar; herbivory; Lepus americanus; plant defense; Populus bal samifera; snowshoe hare",4,3,2259739.71447407
2124,2011,"Regional and interspecific variation in Sr, Ca, and Sr/Ca ratios in avian eggshells from the USA",Avian eggshell; Calcium (Ca); Sr/Ca ratios; Strontium (Sr),4,4,2246768.50213677
2125,2003,Red mangroves emit hydrocarbons,NA,7,3,2215632.30207684
2126,1988,Interactions among soil biota in desert ecosystems,NA,2,2,2215587.29624962
2127,2000,Nitrogen biogeochemistry in the oligohaline zone of a New England estuary.,15N; Actinocyclus normanii; Diatoms; Estuary; Land-margin ecosystem; Massachusetts (USA); Nitrogen cycling; Oligohaline zone; Phytoplankton; Silica; Stable isotope; Terrestrial-aquatic linkage,5,3,2209275.36659533
2128,2000,Nitrogen flow through the food web in the oligohaline zone of a New England estuary.,15N-tracer; Actinocyclus normanii; Benthivore; Copepod; Detritus; Diatom; Food web; Intertidal; Macrofauna; Nitrogen; Oligohaline zone; Planktivore,5,3,2209275.36659533
2129,2008,Top-down and bottom-up control of infauna varies across the saltmarsh landscape,Impact assessment; Indirect effects; Saltmarsh gradient,4,2,2209275.36659533
2130,2009,Large-scale manipulations reveal that top-down and bottom-up controls interact to alter habitat utilization by saltmarsh fauna,Ecosystem experiments; Epifauna; Multi-stressors; Parasites; Salt marsh,3,2,2209275.36659533
2131,2013,"Mummichog, Fundulus heteroclitus, responses to long-term, whole-ecosystem nutrient enrichment.",Decimal coded-wire tags; Eutrophication; Fundulus heteroclitus; Growth rate; Mark and recapture; Salt marsh,3,2,2209275.36659533
2132,2000,Fertilization effects on species density and primary productivity in herbaceous plant communities,NA,4,6,2206911.42355495
2133,2007,Cross-scale interactions and changing pattern-process relationships: consequences for system dynamics,Ecological surprises; Landscape ecology; Propagating events; Spatial heterogeneity; Transfer processes,3,2,2194283.2215518
2134,2001,A general model of site-dependent population regulation: population-level regulation without individual-level interactions,NA,4,3,2167146.96723617
2135,2016,Comparing tree-ring and permanent plot estimates of aboveground net primary production in three eastern U.S. forests,Biomass; Carbon cycle; Dendrochronology; Eastern United States; Net primary productivity; Permanent plots,6,3,2142715.61426303
2136,2000,Modeling landscape functions and effects: a network approach,Cumulative impacts; Landscape valuation; Network connectivity; Source/sink ecosystems; Wetland assessment,4,4,2130357.92544979
2137,2010,Urban heat islands and landscape heterogeneity: Linking spatiotemporal variations in surface temperatures to land-cover and socioeconomic patterns,Geographically weighted regression; Land cover; Surface temperature; Surface urban heat island; Urbanization,2,3,2123537.37316306
2138,2012,"Urbanization diversifies land surface phenology in arid environments: Interactions among vegetation climatic variation, and land use pattern in the Phoenix metropolitan region, USA",Land surface phenology; MODIS NDVI; Remote sensing; Sonoran desert; Urban-rural gradient; Vegetation phenology,2,2,2123537.37316306
2139,2010,A comparison of cover pole with standard vegetation monitoring methods,Assessment; Gap intercept; Habitat quality; Monitoring; Visual obstruction; Wildlife habitat,3,4,2123041.77112911
2140,1991,"Inputs, outputs and accumulation of nitrogen in an early successional moss (Polytrichum) ecosystem",15N; Ecosystem development; Nitrogen accumulation; Nitrogen budget; Polytrichum; Primary succession; Soil organic matter,1,2,2119597.6650775
2141,2004,Chronic nitrogen additions reduce total soil respiration and microbial respiration in temperate forest soils at the Harvard Forest,C sequestration; Carbon dioxide; Forest soils; N deposition; Soil respiration,5,3,2119597.6650775
2142,2000,Structuring features of lake districts : landscape controls on lake chemical responses to drought.,Calcium; Climate; Groundwater; Hydrology; Lake-groundwater interactions; Lakes; Landscape position; Long term research; Ontario; Regionalisation; Seepage; Water chemistry; Wisconsin,9,8,2113714.4861181
2143,2014,Canopy arthropod responses to experimental canopy opening and debris deposition in a tropical rainforest subject to hurricanes,Arthropod; Canopy opening; Debris pulse; Disturbance; Red wax scale; Tropical forest,3,2,2109580.75919374
2144,2004,Predicting occurrences and impacts of smallmouth bass introductions in north temperate lakes,"Artificial neural networks; Exotic species; Food webs; GIS; Lake classification; Lakes; Ontario, Canada; Smallmouth bass; Species introduction; Stable isotopes",4,4,2106953.38103861
2145,2011,Heating up the forest: open-top chamber warming manipulation of arthropod communities at Harvard and Duke Forests,Arthropod; Climate change; Formicidae; Long-term ecological research; Open-top chamber; Warming experiment,6,5,2087310.94681337
2146,2008,Behavioral mechanism for an associational refuge for macroalgae on temperate reefs,Associational defense; Corynactis californica; Facilitation; Macroalgae; Sea urchin; Tube feet,1,2,2055986.91177835
2147,2018,Anthropogenic disturbance facilitates a non-native species on offshore oil platforms,artificial habitat; disturbance; epibenthic invertebrates; non-native species; offshore structures; oil platforms; recruitment; Watersipora subatra,8,2,2055986.91177835
2148,2013,High-throughput amplicon sequencing of rRNA genes requires a copy number correction to accurately reflect the effects of management practices on soil nematode community structure,bar-coding; burning; Konza prairie; nematodes; nitrogen enrichment; tallgrass prairie,3,3,2052987.7146688
2149,2005,Implications of seed banking for recruitment of southern Appalachian woody species,Bayesian statistics; Bet hedging; Recruitment limitation; Seed banking; Seed dormancy; Southern Appalachian forests; Species coexistence,3,4,2048831.74624576
2150,2001,A COMPARATIVE STUDY OF ASYMMETRIC MIGRATION EVENTS ACROSS A MARINE BIOGEOGRAPHIC BOUNDARY,Asymmetry; Balanus; Chthamalus; Cytochrome oxidase I; Dispersal; Gene flow; Nucella; Oceanography; Strongylocentrotus,3,2,2048831.74624576
2151,2007,Stream insect occupancy-frequency patterns and metapopulation structure,Aquatic insect; Core-satellite; Distribution; Sampling intensity; Spatial scale,7,6,2044128.89057256
2152,2007,The role of buoyancy in mitigating reduced light in macroalgal aggregations,Aggregations; Buoyancy; Light; Macroalgae; Photosynthesis; Turbinaria ornata,3,3,2036828.03262395
2153,1997,"Nutrient availability, plant abundance, and species diversity in two alpine tundra communities",Abundance; Alpine tundra; Community composition; Diversity; Functional groups; Mycorrhizae; Nitrogen; Nutrient additions; Phosphorus,2,2,2021642.04901638
2154,2017,A Toolkit for Ecosystem Ecologists in the Time of Big Science,analytics; big data; crowdsourcing; interacting spatial and temporal scales; machine learning; multiple levels of organization; technological Advances,2,3,2015753.22557343
2155,2011,Disturbance regime and limits on benefits of refuge use for fishes in a fluctuating hydroscape,NA,3,2,2013674.36147273
2156,2002,Stable nitrogen and carbon pools in grassland soils of variable texture and carbon content,15nitrogen; Great Plains; Laboratory incubation; Nitrogen retention; Soil organic matter; Tracer experiment,3,2,2012715.50203326
2157,1997,Low-diversity Antarctic soil nematode communities: distribution and response to disturbance,"Antarctic soil system, vulnerability to disturbance; Disturbance and soil biodiversity; Dry Valley region, Antarctica; Field experiment; Food web, Antarctic; Nematode biodiversity; Nematodes and desert soil properties; Soil biodiversity and disturbance; Soil food web; Soil invertebrates in deserts; Species abundance vs. soil moisture, C, and N",2,2,2012715.50203326
2158,1999,Invertebrate biodiversity in Antarctic Dry Valley soils and sediments,Anhydrobiosis; Antarctica; Hyporheic zone; Invertebrates; McMurdo Dry Valleys; Nematodes; Rotifers; Soils; Streams; Tardigrades,3,3,2012715.50203326
2159,2000,The use of anhydrobiosis by soil nematodes in the Antarctic Dry Valleys,Invertebrates; McMurdo Dry Valleys; Soil moisture; Survival strategies,3,3,2012715.50203326
2160,2001,"Organic carbon cycling in Taylor Valley, Antarctica: Quantifying soil reservoirs and soil respiration",Antarctica; Carbon cycling; CO2; Organic carbon; Soil respiration; Taylor Valley,3,2,2012715.50203326
2161,2002,"Trends in resin and KCl-extractable soil nitrogen across landscape gradients in Taylor Valley, Antarctica",Antarctic soils; Landscape gradients; McMurdo Dry Valleys; Nitrification; Nitrogen cycling; Resin-exchange membranes,3,2,2012715.50203326
2162,2005,Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica,NA,3,3,2012715.50203326
2163,2006,Salt tolerance and survival thresholds for two species of Antarctic soil nematodes,NA,5,2,2012715.50203326
2164,1999,"Effects of fire, browsers, and gallers on New Jersey Tea (Ceanothus herbaceous) growth and reproduction",NA,2,3,2002546.16002603
2165,2005,Increased rainfall variability and reduced rainfall amount decreases soil CO2 flux in a grassland ecosystem,Climate change; Precipitation variability; Rainfall manipulation; Rainout shelters; Soil moisture; Soil respiration; Tallgrass prairie,5,3,1989057.37696359
2166,2006,Productivity and species richness in an arid ecosystem: a long-term perspective,Arid ecosystem; Productivity; Quantile regression; Species richness; Unimodal,4,4,1986050.93622524
